Bezeichnung Auftragskonto;IBAN Auftragskonto;BIC Auftragskonto;Bankname Auftragskonto;Buchungstag;Valutadatum;Name Zahlungsbeteiligter;IBAN Zahlungsbeteiligter;BIC (SWIFT-Code) Zahlungsbeteiligter;Buchungstext;Verwendungszweck;Betrag;Waehrung;Saldo nach Buchung;Bemerkung;Gekennzeichneter Umsatz;Glaeubiger ID;Mandatsreferenz
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;01.03.2025;01.03.2025;Lucas Mayer;DE98765432109876543210;COBADEFFXXX;Gutschrift;Steppenreg - Lucas;35,00;EUR;1235,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;01.03.2025;01.03.2025;Ada Lovelace;DE11111111111111111111;SSKMDEMMXXX;Gutschrift;Steppenreg - Ada;35,00;EUR;1270,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;02.03.2025;02.03.2025;Robert Clark;DE22222222222222222222;DRESDEFF;Gutschrift;Steppenreg - Clark;35,00;EUR;1305,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;02.03.2025;02.03.2025;Donald Peters;DE33333333333333333333;DEUTDEDB;Gutschrift;Steppenreg - Don;35,00;EUR;1340,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;03.03.2025;03.03.2025;Erin Schulz;DE44444444444444444444;NOLADE21HAM;Gutschrift;Steppenreg - erin;35,00;EUR;1375,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;03.03.2025;03.03.2025;Bob Fischer;DE55555555555555555555;GENODEFF;Gutschrift;Steppenreg - Bob;35,00;EUR;1410,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;03.03.2025;03.03.2025;Freddy Krause;DE66666666666666666666;PBNKDEFFXXX;Gutschrift;Steppenreg - Freddy;35,00;EUR;1445,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;04.03.2025;04.03.2025;Finn Hoffmann;DE77777777777777777777;RAIFCH22;Gutschrift;Steppenreg - Finn;35,00;EUR;1480,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;04.03.2025;04.03.2025;Thomas Bauer;DE88888888888888888888;UNCRITMMXXX;Gutschrift;Steppenreg - Thomas;35,00;EUR;1515,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;04.03.2025;04.03.2025;Peer Wiese;DE99999999999999999999;BFSWDE33BER;Gutschrift;Steppenreg - Pew;35,00;EUR;1550,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;05.03.2025;05.03.2025;Penguin Schmidt;DE10101010101010101010;SSKMDEMMXXX;Gutschrift;Steppenreg - Peng;35,00;EUR;1585,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;05.03.2025;05.03.2025;Test Nutzer;DE20202020202020202020;COBADEFFXXX;Gutschrift;Steppenreg - Test User;35,00;EUR;1620,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;05.03.2025;05.03.2025;Foobar Baz;DE30303030303030303030;DRESDEFF;Gutschrift;Steppenreg - Foo;35,00;EUR;1655,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;05.03.2025;05.03.2025;L. Tester;DE40404040404040404040;DEUTDEDB;Gutschrift;Steppenreg - Lucas Test;35,00;EUR;1690,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;06.03.2025;06.03.2025;Marie Muster;DE50505050505050505050;NOLADE21HAM;Gutschrift;Steppenreg - Marie Muster;35,00;EUR;1725,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;06.03.2025;06.03.2025;P. Wiese;DE60606060606060606060;GENODEFF;Gutschrift;Steppenreg - Peer Wiese;35,00;EUR;1760,00;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;07.03.2025;07.03.2025;REWE Lieferservice;DE70707070707070707070;PBNKDEFFXXX;Lastschrift;REWE Lieferservice Bestellung 2025030112345;;-89,50;EUR;1670,50;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;07.03.2025;07.03.2025;Stadtwerke Musterstadt;DE80808080808080808080;RAIFCH22;Lastschrift;Abschlag Strom Maerz 2025;;-112,00;EUR;1558,50;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;08.03.2025;08.03.2025;Miete Buero Musterstr 5;DE90909090909090909090;BFSWDE33BER;Dauerauftrag;Miete Maerz 2025 Buero;;-450,00;EUR;1108,50;;;;
Vereinskonto Steppenreg;DE12345678901234567890;BELADEBEXXX;Berliner Sparkasse;08.03.2025;08.03.2025;Klaus-Dieter Gross;DE01010101010101010101;UNCRITMMXXX;Gutschrift;Spende allgemein Steppenreg e.V.;50,00;EUR;1158,50;;;;
